stage,generation,sample_accuracy_percent,sample_loss,test_accuracy_percent,test_loss
generation,143,28.200000524520874,66.3829574584961,,
generation,144,27.800002694129944,94.78538513183594,,
generation,145,29.15000021457672,82.6747055053711,,
generation,146,29.200002551078796,84.28955841064453,,
generation,147,29.200002551078796,84.04832458496094,,
generation,148,27.500000596046448,87.3382339477539,,
generation,149,27.75000035762787,90.85476684570312,,
generation,150,28.600001335144043,78.37743377685547,,
generation,151,30.100002884864807,78.3470687866211,,
generation,152,28.600001335144043,84.43153381347656,,
generation,153,28.800001740455627,80.72301483154297,,
generation,154,30.150002241134644,87.11727905273438,,
generation,155,29.05000150203705,87.51659393310547,,
generation,156,29.30000126361847,90.02063751220703,,
generation,157,29.6500027179718,80.8990478515625,,
generation,158,28.65000069141388,90.52273559570312,,
generation,159,31.35000169277191,84.19762420654297,,
generation,160,28.850001096725464,88.8804931640625,,
generation,161,31.75000250339508,83.92948150634766,,
generation,162,29.500001668930054,97.45976257324219,,
generation,163,29.55000102519989,89.50843811035156,,
generation,164,31.10000193119049,75.5965576171875,,
generation,165,29.500001668930054,93.27706909179688,,
generation,166,31.50000274181366,94.33955383300781,,
generation,167,30.650001764297485,95.14966583251953,,
generation,168,29.600000381469727,88.09843444824219,,
generation,169,29.15000021457672,75.18167114257812,,
generation,170,30.500000715255737,85.71450805664062,,
generation,171,30.150002241134644,97.0674057006836,,
generation,172,29.750001430511475,85.97569274902344,,
generation,173,31.35000169277191,82.4480972290039,,
generation,174,30.400002002716064,89.58336639404297,,
generation,175,30.4500013589859,76.78186798095703,,
generation,176,30.050000548362732,91.84403991699219,,
generation,177,30.100002884864807,83.13370513916016,,
generation,178,29.80000078678131,86.51900482177734,,
generation,179,30.900001525878906,90.95148468017578,,
generation,180,29.000002145767212,97.4547119140625,,
generation,181,31.25,82.51786041259766,,
generation,182,31.300002336502075,89.92967987060547,,
generation,183,31.550002098083496,79.9984130859375,,
generation,184,30.650001764297485,86.29389953613281,,
generation,185,32.90000259876251,84.49080657958984,,
generation,186,31.550002098083496,77.993408203125,,
generation,187,31.10000193119049,74.5774917602539,,
generation,188,31.300002336502075,96.5247802734375,,
generation,189,31.65000081062317,83.0169677734375,,
generation,190,31.50000274181366,74.86576843261719,,
generation,191,32.100000977516174,88.70137023925781,,
generation,192,31.50000274181366,88.15359497070312,,
generation,193,32.45000243186951,85.63985443115234,,
generation,194,31.600001454353333,89.2108154296875,,
generation,195,30.85000216960907,99.0551986694336,,
generation,196,33.000001311302185,81.58702087402344,,
generation,197,32.0000022649765,93.8975601196289,,
generation,198,33.50000083446503,92.57671356201172,,
generation,199,32.15000033378601,86.88343811035156,,
generation,200,32.70000219345093,87.62007141113281,,
generation,201,31.300002336502075,75.50015258789062,,
generation,202,32.70000219345093,90.38771057128906,,
generation,203,31.10000193119049,92.13170623779297,,
generation,204,31.65000081062317,86.47335052490234,,
generation,205,32.25000202655792,85.80754852294922,,
generation,206,32.600000500679016,87.65563201904297,,
generation,207,32.95000195503235,94.1745376586914,,
generation,208,32.600000500679016,75.835693359375,,
generation,209,31.550002098083496,82.9134521484375,,
generation,210,32.65000283718109,100.40072631835938,,
generation,211,32.65000283718109,96.23087310791016,,
generation,212,32.600000500679016,82.80440521240234,,
generation,213,32.70000219345093,98.62779998779297,,
generation,214,33.50000083446503,105.1990966796875,,
generation,215,33.80000293254852,94.26200866699219,,
generation,216,32.15000033378601,104.17951965332031,,
generation,217,31.950002908706665,88.88761138916016,,
generation,218,33.650001883506775,90.79776000976562,,
generation,219,32.55000114440918,93.94208526611328,,
generation,220,31.850001215934753,98.39507293701172,,
generation,221,33.20000171661377,93.11602783203125,,
generation,222,33.95000100135803,84.57271575927734,,
generation,223,33.05000066757202,91.84779357910156,,
generation,224,33.50000083446503,91.6931381225586,,
generation,225,34.450000524520874,86.2477798461914,,
generation,226,34.60000157356262,90.11619567871094,,
generation,227,32.50000178813934,82.8211441040039,,
generation,228,34.10000205039978,90.51648712158203,,
generation,229,32.65000283718109,90.753662109375,,
generation,230,33.20000171661377,89.1861343383789,,
generation,231,32.8000009059906,83.14496612548828,,
generation,232,32.750001549720764,91.27167510986328,,
generation,233,33.70000123977661,73.60684967041016,,
generation,234,33.650001883506775,88.76716613769531,,
generation,235,34.60000157356262,82.1578140258789,,
generation,236,32.50000178813934,91.41844177246094,,
generation,237,33.50000083446503,91.71263122558594,,
generation,238,34.550002217292786,89.41663360595703,,
generation,239,35.25000214576721,88.83734130859375,,
generation,240,34.60000157356262,97.33987426757812,,
generation,241,32.85000026226044,101.92486572265625,,
generation,242,35.50000190734863,82.51235961914062,,
generation,243,34.75000262260437,84.96498107910156,,
generation,244,33.650001883506775,78.5908432006836,,
generation,245,34.50000286102295,86.96378326416016,,
generation,246,33.30000042915344,95.2879867553711,,
generation,247,35.80000102519989,95.12654113769531,,
generation,248,35.200002789497375,76.72686767578125,,
generation,249,33.900001645088196,87.3082504272461,,
generation,250,33.20000171661377,93.83908081054688,,
generation,251,34.60000157356262,75.20852661132812,,
generation,252,34.550002217292786,75.52046203613281,,
generation,253,36.400002241134644,75.1973876953125,,
generation,254,35.100001096725464,88.38763427734375,,
generation,255,34.85000133514404,74.9180679321289,,
generation,256,33.400002121925354,75.54118347167969,,
generation,257,34.3500018119812,80.13677978515625,,
generation,258,36.15000247955322,79.21696472167969,,
generation,259,34.25000309944153,89.58474731445312,,
generation,260,35.00000238418579,95.931640625,,
generation,261,34.90000069141388,69.48094177246094,,
generation,262,34.700000286102295,83.28080749511719,,
generation,263,35.100001096725464,85.45734405517578,,
generation,264,34.450000524520874,82.35220336914062,,
generation,265,34.40000116825104,80.40525817871094,,
generation,266,34.60000157356262,90.56177520751953,,
generation,267,35.30000150203705,79.10417938232422,,
generation,268,35.200002789497375,100.19361114501953,,
generation,269,34.50000286102295,81.1677474975586,,
generation,270,34.80000197887421,89.55593872070312,,
generation,271,34.50000286102295,88.41516876220703,,
generation,272,35.9000027179718,91.4965591430664,,
generation,273,34.85000133514404,91.1622314453125,,
generation,274,35.350000858306885,85.02770233154297,,
generation,275,36.100003123283386,84.57971954345703,,
generation,276,35.350000858306885,87.64575958251953,,
generation,277,34.60000157356262,88.23422241210938,,
generation,278,33.50000083446503,85.73504638671875,,
generation,279,34.75000262260437,83.09160614013672,,
generation,280,35.55000126361847,96.38634490966797,,
generation,281,35.25000214576721,77.72400665283203,,
generation,282,36.100003123283386,78.03193664550781,,
generation,283,36.80000305175781,84.09314727783203,,
generation,284,35.200002789497375,85.99590301513672,,
generation,285,33.70000123977661,90.25623321533203,,
generation,286,35.95000207424164,75.9515609741211,,
generation,287,34.85000133514404,81.7526626586914,,
