stage,generation,train_accuracy_percent,train_loss,test_accuracy_percent,test_loss
generation,213,33.60000252723694,60.5882453918457,31.299999356269836,62.94449996948242
generation,214,33.35000276565552,63.75739288330078,31.450000405311584,65.07121276855469
generation,215,35.05000174045563,57.84609603881836,31.709998846054077,60.435787200927734
generation,216,31.550002098083496,68.65390014648438,31.73999786376953,64.79485321044922
generation,217,33.000001311302185,66.52781677246094,31.41999840736389,65.74247741699219
generation,218,31.550002098083496,61.63894271850586,32.11999833583832,59.815006256103516
generation,219,32.90000259876251,58.836891174316406,31.790000200271606,58.90391159057617
generation,220,33.50000083446503,62.34124755859375,31.619998812675476,61.684574127197266
generation,221,32.0000022649765,58.0839729309082,31.679999828338623,59.36882400512695
generation,222,33.75000059604645,60.144893646240234,31.929999589920044,60.26475524902344
generation,223,31.600001454353333,63.60041809082031,31.259998679161072,61.98835754394531
generation,224,33.95000100135803,57.329891204833984,32.11999833583832,59.90571212768555
generation,225,35.350000858306885,61.00457763671875,32.099997997283936,61.03193664550781
generation,226,33.60000252723694,57.77348709106445,32.2299987077713,59.126792907714844
generation,227,35.9000027179718,55.12178421020508,32.2299987077713,59.126792907714844
generation,228,35.1500004529953,60.93755340576172,31.689998507499695,62.292842864990234
generation,229,33.05000066757202,59.53333282470703,32.40000009536743,60.07022476196289
generation,230,32.600000500679016,63.45167922973633,32.76999890804291,61.01034927368164
generation,231,35.350000858306885,57.770172119140625,32.61999785900116,59.44526290893555
generation,232,33.85000228881836,61.950958251953125,32.54999816417694,62.10539245605469
generation,233,34.90000069141388,58.91120147705078,32.69000053405762,61.74540710449219
generation,234,31.850001215934753,63.67060852050781,32.71999955177307,60.157981872558594
generation,235,35.05000174045563,55.13076400756836,32.61999785900116,58.28144836425781
generation,236,33.30000042915344,61.193504333496094,32.999998331069946,59.79191207885742
generation,237,34.00000035762787,61.632633209228516,33.309999108314514,61.63117980957031
generation,238,33.35000276565552,58.358707427978516,32.670000195503235,58.138031005859375
generation,239,34.300002455711365,54.30302429199219,32.64999985694885,57.062843322753906
generation,240,34.10000205039978,61.64439392089844,33.16999971866608,61.32485580444336
generation,241,34.25000309944153,58.56264877319336,33.21999907493591,57.067726135253906
generation,242,35.600000619888306,57.56098937988281,32.829999923706055,59.276607513427734
generation,243,35.450002551078796,61.20335388183594,33.309999108314514,61.63117980957031
generation,244,33.95000100135803,57.92698669433594,33.149999380111694,57.980812072753906
generation,245,34.90000069141388,62.07263946533203,33.34999978542328,62.73869323730469
generation,246,33.85000228881836,57.565940856933594,33.10999870300293,56.395267486572266
generation,247,35.95000207424164,53.9301872253418,33.76999795436859,56.15167999267578
generation,248,36.15000247955322,61.5880012512207,33.16999971866608,62.4384880065918
generation,249,34.80000197887421,56.63546371459961,33.19999873638153,58.1099739074707
generation,250,33.20000171661377,57.54388427734375,33.139997720718384,56.99098587036133
generation,251,32.8000009059906,57.79364013671875,33.640000224113464,58.60037612915039
generation,252,32.85000026226044,61.922149658203125,33.5099995136261,58.93344497680664
generation,253,35.00000238418579,52.096988677978516,34.119999408721924,55.401100158691406
generation,254,34.20000076293945,56.1429443359375,33.25999975204468,57.05153274536133
