stage,generation,train_accuracy_percent,train_loss,test_accuracy_percent,test_loss
generation,287,37.5,48.900997161865234,32.69000053405762,45.70375442504883
generation,288,39.49999809265137,39.582462310791016,33.40999782085419,40.20370101928711
generation,289,41.49999916553497,38.891258239746094,34.83999967575073,41.437896728515625
generation,290,39.99999761581421,36.128807067871094,34.31999981403351,40.60331726074219
generation,291,34.49999988079071,39.943939208984375,34.129998087882996,41.49742889404297
generation,292,42.49999821186066,34.22004318237305,33.92999768257141,39.164241790771484
generation,293,37.5,46.67475128173828,34.039998054504395,42.98922348022461
generation,294,40.50000011920929,42.79460144042969,34.81999933719635,44.591644287109375
generation,295,39.99999761581421,42.07674789428711,34.289997816085815,41.87112045288086
generation,296,40.50000011920929,31.835203170776367,35.22000014781952,37.35240173339844
generation,297,43.50000023841858,40.6538200378418,35.009998083114624,42.13595962524414
generation,298,42.9999977350235,44.549251556396484,34.40999984741211,42.03316116333008
generation,299,36.49999797344208,45.7313346862793,34.16000008583069,41.21576690673828
generation,300,37.5,48.20201110839844,35.019999742507935,41.431976318359375
generation,301,42.9999977350235,44.20209884643555,33.149999380111694,47.71502685546875
generation,302,39.99999761581421,44.012351989746094,35.27999818325043,44.49003601074219
generation,303,36.49999797344208,41.24447250366211,32.760000228881836,39.63869857788086
generation,304,39.99999761581421,39.49130630493164,35.499998927116394,38.83733367919922
generation,305,43.50000023841858,40.92015075683594,32.420000433921814,45.76897430419922
generation,306,42.49999821186066,39.329261779785156,35.20999848842621,40.24808883666992
generation,307,40.50000011920929,39.24766540527344,34.49999988079071,39.39207077026367
generation,308,37.99999952316284,44.64693832397461,33.75000059604645,42.86459732055664
generation,309,40.99999964237213,35.17704772949219,35.56999862194061,40.462162017822266
generation,310,40.99999964237213,43.341102600097656,35.24999916553497,44.01853561401367
generation,311,41.49999916553497,40.0053596496582,34.59999859333038,41.5566291809082
generation,312,40.99999964237213,39.946231842041016,34.139999747276306,39.397254943847656
generation,313,42.9999977350235,36.1847038269043,35.04999876022339,40.007930755615234
generation,314,42.9999977350235,41.650089263916016,35.499998927116394,46.825523376464844
generation,315,37.5,49.32630920410156,35.830000042915344,44.03581619262695
generation,316,42.9999977350235,40.83344268798828,34.279999136924744,43.10236740112305
generation,317,43.99999976158142,40.57912063598633,35.179999470710754,41.88987731933594
generation,318,46.99999988079071,35.566410064697266,34.70999896526337,41.49235153198242
generation,319,41.49999916553497,38.662723541259766,34.14999842643738,41.979576110839844
generation,320,43.50000023841858,38.15602493286133,35.35999953746796,39.755584716796875
generation,321,41.999998688697815,35.677207946777344,35.80999970436096,39.40816879272461
generation,322,45.499998331069946,33.536502838134766,35.839998722076416,36.8983154296875
generation,323,44.49999928474426,35.865116119384766,34.64999794960022,42.22550582885742
generation,324,44.49999928474426,35.4404411315918,36.60999834537506,40.71409225463867
generation,325,40.99999964237213,34.20185852050781,35.80999970436096,39.40816879272461
generation,326,39.49999809265137,45.266483306884766,34.119999408721924,44.443809509277344
generation,327,42.9999977350235,37.335601806640625,35.31999886035919,42.60188674926758
